ID	TITLE
00001	SPAN 102                                                                        
00002	SPAN 111                                                                        
00003	SPAN 190                                                                        
00004	SPAN 202                                                                        
00005	SPAN 212                                                                        
00006	SPAN 217R                                                                       
00007	SPAN 217R                                                                       
00008	SPAN 285                                                                        
00009	SPAN 285                                                                        
00010	SPAN 285W                                                                       
00011	SPAN 285W                                                                       
00012	SPAN 300W                                                                       
00013	SPAN 302W                                                                       
00014	SPAN 303                                                                        
00015	SPAN 304                                                                        
00016	SPAN 311                                                                        
00017	SPAN 318W                                                                       
00018	SPAN 330                                                                        
00019	SPAN 336                                                                        
00020	SPAN 385                                                                        
00021	SPAN 405W                                                                       
00022	SPAN 411W                                                                       
00023	SPAN 424                                                                        
00024	SPAN 485                                                                        
00025	SPAN 485                                                                        
