ID	TITLE
00001	WGS 200                                                                         
00002	WGS 205W                                                                        
00003	WGS 265                                                                         
00004	WGS 285                                                                         
00005	WGS 285W                                                                        
00006	WGS 300                                                                         
00007	WGS 345                                                                         
00008	WGS 362W                                                                        
00009	WGS 385                                                                         
00010	WGS 385                                                                         
00011	WGS 385                                                                         
00012	WGS 385                                                                         
00013	WGS 385                                                                         
00014	WGS 385W                                                                        
00015	WGS 385W                                                                        
00016	WGS 495A                                                                        
00017	WGS 495BW                                                                       
00018	WGS 499R                                                                        
00019	WGS 513                                                                         
00020	WGS 585                                                                         
00021	WGS 585                                                                         
00022	WGS 597R                                                                        
00023	WGS 720R                                                                        
00024	WGS 730R                                                                        
00025	WGS 752R                                                                        
00026	WGS 798R                                                                        
00027	WGS 799R                                                                        
