ID	TITLE
00001	BIOL 120                                                                        
00002	BIOL 120L                                                                       
00003	BIOL 141                                                                        
00004	BIOL 141L                                                                       
00005	BIOL 142                                                                        
00006	BIOL 142L                                                                       
00007	BIOL 240                                                                        
00008	BIOL 301                                                                        
00009	BIOL 336                                                                        
00010	BIOL 360                                                                        
00011	BIOL 370                                                                        
00012	BIOL 375                                                                        
00013	BIOL 497R                                                                       
