ID	TITLE
00001	CHN 111                                                                         
00002	CHN 112                                                                         
00003	CHN 211                                                                         
00004	CHN 212                                                                         
00005	CHN 232                                                                         
00006	CHN 273                                                                         
00007	CHN 311                                                                         
00008	CHN 312                                                                         
00009	CHN 375W                                                                        
00010	CHN 411                                                                         
00011	CHN 412                                                                         
