ID	TITLE
00001	DPT 700                                                                         
00002	DPT 705                                                                         
00003	DPT 710                                                                         
00004	DPT 715                                                                         
00005	DPT 720                                                                         
00006	DPT 725                                                                         
00007	DPT 800                                                                         
00008	DPT 805                                                                         
00009	DPT 900                                                                         
00010	DPT 905                                                                         
00011	DPT 950                                                                         
00012	DPT 970                                                                         
00013	DPT 973                                                                         
