ID	TITLE
00001	SPAN 101                                                                        
00002	SPAN 102                                                                        
00003	SPAN 201                                                                        
00004	SPAN 202                                                                        
00005	SPAN 210                                                                        
00006	SPAN 212                                                                        
00007	SPAN 219                                                                        
00008	SPAN 308                                                                        
00009	SPAN 309                                                                        
00010	SPAN 310                                                                        
00011	SPAN 319                                                                        
00012	SPAN 385                                                                        
00013	SPAN 408                                                                        
